us_state,rate_of_heart_disease,deaths
AL,224.7,13473
AK,129.7,815
AZ,136.4,12455
AR,217.4,8171
CA,139.7,62547
CO,124.3,7370
CT,142.1,7205
DE,159.1,2030
FL,143.1,47027
GA,175.8,18986
HI,125.6,2570
ID,157.9,3122
IL,163.9,25755
IN,180.7,14532
IA,165.1,7185
KS,158.9,5823
KY,198.3,10697
LA,212.2,11340
ME,147,2965
MD,161.9,11683
MA,131.5,12036
MI,195,25354
MN,119,8408
MS,222.1,7758
MO,188.4,14893
MT,163.2,2347
NE,145.7,3539
NV,190.7,6393
NH,151,2786
NJ,163,19047
NM,148.2,3935
NY,171.9,44499
NC,155.5,19222
ND,140,1361
OH,191.1,29220
OK,228.5,10634
OR,128.4,6820
PA,176.1,32768
RI,158.9,2411
SC,167,10464
SD,156.3,1796
TN,202.4,16417
TX,170,46763
UT,146.4,3749
VT,150.5,1338
VA,147.9,14600
WA,135.4,11655
WV,196.4,5007
WI,157.8,12061
WY,152.7,1054
