Restaurant_Number,Address,City,Latitude,Longitude,Name_of_Restaurant,Zip_Code,US_State
0,324 Main St,Massena,44.9213,-74.89021,McDonald's,13662,NY
1,530 Clinton Ave,Washington Court House,39.53255,-83.44526,Wendy's,43160,OH
2,408 Market Square Dr,Maysville,38.62736,-83.79141,Frisch's Big Boy,41056,KY
3,6098 State Highway 37,Massena,44.95008,-74.84553,McDonald's,13662,NY
4,139 Columbus Rd,Athens,39.35155,-82.09728,OMG! Rotisserie,45701,OH
5,4182 Tonya Trl,Hamilton,39.4176,-84.47641,Domino's Pizza,45011,OH
6,590 S Main St,Englewood,39.86969,-84.29358,Domino's Pizza,45322,OH
7,401 N Jennings St,Saluda,34.00598,-81.7704,McDonald's,29138,SC
8,205 W Church St,Batesburg,33.91335,-81.5333,Wendy's,29006,SC
9,2711 W. Kings Highway Ste. 18,Paragould,36.06107,-90.52325,Pizza Hut,72450,AR
10,613 W Center St,Sheridan,34.30687,-92.40784,SONIC Drive In,72150,AR
11,512 Highway 425 S Lot B,Monticello,33.61937,-91.80232,Domino's Pizza,71655,AR
12,1535 NW 50th St,Oklahoma City,35.52234,-97.5382,McDonald's,73118,OK
13,125 Towne Center Dr,Lexington,38.06753,-84.53043,Domino's Pizza,40511,KY
14,66 14th St.,Tell City,37.941032,-86.762115,Long John Silver's,47586,IN
15,301 University Blvd,Louisville,38.21999,-85.764824,McDonald's,40208,KY
16,5812 NW Expressway,Oklahoma City,35.54815,-97.61717,McDonald's,73132,OK
17,101 Thomas Garst Ln,Leland,34.23389,-77.99544,Taco Bell,28451,NC
18,1111 New Pointe Blvd,Leland,34.21188,-78.02454,McDonald's,28451,NC
19,782 Old Hickory Blvd Ste 120,Brentwood,36.04222,-86.77995,Qdoba Mexican Grill,37027,TN
20,108 Village Rd NE,Leland,34.234477,-78.000649,McDonald's,28451,NC
21,1116 Old Highway 60,Hardinsburg,37.792641,-86.492762,McDonald's,40143,KY
22,1423 Southwest Pkwy,Wichita Falls,33.85371,-98.50065,McDonald's,76302,TX
23,908 Padre Blvd,South Padre Island,26.09105,-97.1643,McDonald's,78597,TX
24,1131n N Main St,Miami,36.88826,-94.87766,McDonald's,74354,OK
25,3401 Hwy 165 North,Pineville,31.3626,-92.41343,Pizza Hut,71360,LA
26,1631 E Madison Ave,Bastrop,32.77992,-91.89477,Sonic Drive-In,71220,LA
27,301 S Lynn Riggs Blvd,Claremore,36.31069,-95.61759,Domino's Pizza,74017,OK
28,601 E Lincolnway,Minerva,40.732,-81.09812,McDonald's,44657,OH
29,3211 S 4th St,Leavenworth,39.28532,-94.90441,SONIC Drive In,66048,KS
30,105 Business Loop W,Jamestown,46.898997,-98.707788,Taco Bell,58401,ND
31,1531 University Dr S,Fargo,46.85659,-96.79863,Domino's Pizza,58103,ND
32,718 10th St SE,Jamestown,46.89896,-98.6984,Taco John's,58401,ND
33,1400 24th Ave SW,Minot,48.20858,-101.3128,McDonald's,58701,ND
34,703 S Magnolia St,Woodville,30.76846,-94.41477,Whataburger,75979,TX
35,1535 S Broadway,Minot,48.219459,-101.296022,Pizza Hut,58701,ND
36,775 S Main St,Smithfield,41.82069,-111.83318,Domino's Pizza,84335,UT
37,218 W Main St,Ada,34.77482,-96.68126,Hamburger King,74820,OK
38,3208 S Elm Pl,Broken Arrow,36.01948,-95.79756,SONIC Drive In,74012,OK
39,3056 Classen Blvd Unit A,Norman,35.18173,-97.41709,Domino's Pizza,73071,OK
40,982 Macon St,Warner Robins,32.59495,-83.58338,Burger King,31098,GA
41,6060 San Mateo Blvd NE,Albuquerque,35.144456,-106.585927,Burger King,87109,NM
42,8401 Gateway Blvd W Ste M4,El Paso,31.77465,-106.38071,McDonalds,79925,TX
43,450 N Harrison Ave,Shawnee,35.33252,-96.91222,SONIC Drive In,74801,OK
44,9455 SW Barbur Blvd,Portland,45.457027,-122.713696,Taco Time,97219,OR
45,351 River Hill Dr,Ashland,38.48554,-82.658096,McDonald's,41101,KY
46,18000 Bagley Rd,Cleveland,41.373042,-81.826072,Burger King,44130,OH
47,3700 N 1st Ave,Evansville,38.01322,-87.57549,McDonald's,47710,IN
48,895 N Highway 77 Ste 300,Waxahachie,32.41269,-96.84213,Jimmy John's,75165,TX
49,819 SW 19th St,Oklahoma City,35.32026,-97.50536,Domino's Pizza,73160,OK
50,"95-1249 Meheula Parkway,",Mililani,21.45311,-158.01738,Jersey Mike's Subs,96789,HI
51,1625 Veterans Pkwy,Jeffersonville,38.32967,-85.74938,Popeyes Louisiana Kitchen,47130,IN
52,2730 S Hurstbourne Pkwy Suite 100,Louisville,38.21234,-85.59548,Qdoba Mexican Grill,40220,KY
53,5680 Commercial St SE Ste 100,Salem,44.87205,-123.02243,Domino's Pizza,97306,OR
54,2870 W Loop 1604 S,San Antonio,29.4033,-98.70619,Whataburger,78245,TX
55,1321 Herr Ln Ste 150,Louisville,38.26897,-85.61074,Qdoba Mexican Grill,40222,KY
56,100 Northside Dr,Bennington,42.89413,-73.20316,Taco Bell,5201,VT
57,6611 S Mo Pac Expy Ste B,Austin,30.22023,-97.83528,Whataburger,78749,TX
58,9300 S Interstate 35 Bldg H,Austin,30.16525,-97.78887,Whataburger,78748,TX
59,315 N Stephenson Ave,Iron Mountain,45.825755,-88.063121,Hardee's,49801,MI
60,2439 Springs Rd NE,Hickory,35.75332,-81.28572,McDonald's,28601,NC
61,9651 Natural Bridge Rd,Saint Louis,38.72914,-90.34394,Rally's,63134,MO
62,1665 Dove Park Rd Ste 300,Mandeville,30.41178,-90.04186,Quiznos,70471,LA
63,225 Grant Ave,Auburn,42.94987,-76.54722,Burger King,13021,NY
64,5400 FM 1640 Rd Ste 500,Richmond,29.55941,-95.76008,Whataburger,77469,TX
65,2448 University Ave,Green Bay,44.51312,-87.96051,Domino's Pizza,54302,WI
66,111 Commons Dr,Maumelle,34.84808,-92.40624,SONIC Drive In,72113,AR
67,344 S Service Rd E,Sullivan,38.22303,-91.15696,Taco Bell,63080,MO
68,6490 Memphis Arlington Rd Ste 103,Memphis,35.22655,-89.84786,Domino's Pizza,38135,TN
69,2124 S 1st St,Yakima,46.57144,-120.48825,Taco Bell,98903,WA
70,482 Branson Landing Blvd Ste 105,Branson,36.65075,-93.22026,Jimmy John's,65616,MO
71,406 S Thompson St,Springdale,36.182436,-94.138658,Taco Bell,72764,AR
72,5094 Murfreesboro Rd Ste 1,La Vergne,36.02074,-86.5812,Domino's Pizza,37086,TN
73,801 S Vaughn Dr,Brusly,30.387691,-91.25265,McDonald's,70719,LA
74,5100 NC Highway 87 S Ste 102,Fayetteville,34.9297,-78.85668,Domino's Pizza,28306,NC
75,Co-Op City,Bronx,40.8691,-73.8248,Burger King,10475,NY
76,3898 Cleveland Hwy,Dalton,34.89383,-84.94654,McDonalds,30721,GA
77,1865 Blankenship Rd,West Linn,45.349698,-122.653281,Jack in the Box,97068,OR
78,825 W 1100 S,Brigham City,41.48602,-112.02944,Sonic Drive-In,84302,UT
79,955 S Main St,Brigham City,41.49113,-112.01555,Taco Bell,84302,UT
80,875 W 1150 S,Brigham City,41.48561,-112.02934,Subway,84302,UT
81,524 Indian Boundary Rd,Chesterton,41.6165,-87.0439,Jimmy John's,46304,IN
82,801 University St,Martin,36.3485,-88.87344,McDonald's,38237,TN
83,2505 State Rd,La Crosse,43.79609,-91.21769,Hardee's,54601,WI
84,1610 Sycamore View Rd,Memphis,35.1694,-89.86479,McDonald's,38134,TN
85,2437 George St,La Crosse,43.85742,-91.23993,McDonald's,54603,WI
86,813 N Central Ave,Marshfield,44.674233,-90.168369,Taco John's,54449,WI
87,1101 N Central Ave,Marshfield,44.67742,-90.16521,McDonald's,54449,WI
88,4601 Northfield Rd,Cleveland,41.433314,-81.523935,Mr Hero,44128,OH
89,1601 W Lincoln Ave,Yakima,46.6039,-120.53093,McDonald's,98902,WA
90,5706 W 7800 S,West Jordan,40.60985,-112.0266,McDonald's,84081,UT
91,1014 Highway 82 E,Indianola,33.45785,-90.63563,Taco Bell,38751,MS
92,640 Huebner Rd,Fort Riley,39.0644,-96.79881,Domino's Pizza,66442,KS
93,1418 W Sunset Blvd,Saint George,37.122977,-113.613499,Taco Bell,84770,UT
94,610 E Saint George Blvd,Saint George,37.109869,-113.570286,Taco Bell,84770,UT
95,4651 W 6th St,Lawrence,38.971514,-95.301449,Pizza Hut,66049,KS
96,5540 Old Cheney Rd,Lincoln,40.75546,-96.64543,Amigos/Kings Classic,68516,NE
97,7501 W 135th St,Overland Park,38.88353,-94.672,Raising Cane's Chicken Fingers,66223,KS
98,4204 Milan Rd,Sandusky,41.41841,-82.67352,McDonalds,44870,OH
99,6300 Gulf Fwy,La Marque,29.3676,-94.97416,Whataburger,77568,TX
100,1302 Highway 35 N,Rockport,28.036688,-97.04238,McDonald's,78382,TX
101,3515 Springdale Rd,Cincinnati,39.25009,-84.59411,Domino's Pizza,45251,OH
102,7720 Laurel Ave,Cincinnati,39.18985,-84.36207,Domino's Pizza,45243,OH
103,123 Creekside Xing,New Braunfels,29.7279,-98.07612,Whataburger,78130,TX
104,793 Roosevelt Trl,Windham,43.83887,-70.44217,Burger King,4062,ME
105,14700 E Indiana Ave,Spokane,47.673976,-117.206394,Taco Time,99216,WA
106,201 Commerce Dr,Jefferson City,38.59259,-92.2254,SONIC Drive In,65109,MO
107,3124 S Ten Mile Dr,Jefferson City,38.58068,-92.2352,McDonald's,65109,MO
108,1417 Jackson Ave W,Oxford,34.36729,-89.54978,Coop DeVille,38655,MS
109,2984 Upland Pkwy,Sidney,41.138,-102.98557,McDonalds,69162,NE
110,1002 J St,Auburn,40.39457,-95.83913,Amigos/Kings Classic,68305,NE
111,191 7th St,Garden City,40.725253,-73.634393,B. Good,11530,NY
112,544 Conestoga Pkwy,Shepherdsville,37.9978,-85.70737,Domino's Pizza,40165,KY
113,101 Smith Rd,Glasgow,37.0082,-85.92208,McDonald's,42141,KY
114,5212 Jackson St,Alexandria,31.27267,-92.48395,Sonic Drive-In,71303,LA
115,131 S Highway 27,Somerset,37.09224,-84.61883,McDonald's,42501,KY
116,1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,35.085335,-106.60555,Domino's Pizza,87105,NM
117,4800 Frederica St,Owensboro,37.723743,-87.123894,McDonald's,42301,KY
118,300 W Esplanade Ave,Kenner,30.02306,-90.26933,Burger King,70065,LA
119,5963 W Main St,Houma,29.63346,-90.75858,Sonic Drive-In,70360,LA
120,7849 Tramway Blvd NE Ste D,Albuquerque,35.17351,-106.49703,Domino's Pizza,87122,NM
121,400 Clifty Dr,Madison,38.77544,-85.39367,Rally's,47250,IN
122,1228 Saint Charles St,Houma,29.58875,-90.74346,Taco Bell,70360,LA
123,725 Sterlington Hwy,Farmerville,32.7715,-92.39699,Taco Bell,71241,LA
