,Year,US_State,Rate_of_Heart_Disease,Deaths
0,2020,AL,237.5,14739
1,2020,AK,139.8,915
2,2020,AZ,144.8,14196
3,2020,AR,222.5,8621
4,2020,CA,144.0,66538
5,2020,CO,128.1,8023
6,2020,CT,138.4,7110
7,2020,DE,159.6,2171
8,2020,FL,143.1,49287
9,2020,GA,183.7,21116
10,2020,HI,125.0,2623
11,2020,ID,151.9,3191
12,2020,IL,171.4,27460
13,2020,IN,183.9,15169
14,2020,IA,172.9,7499
15,2020,KS,167.0,6264
16,2020,KY,204.5,11345
17,2020,LA,221.5,12255
18,2020,ME,146.2,3035
19,2020,MD,168.3,12624
20,2020,MA,126.9,11781
21,2020,MI,205.0,27127
22,2020,MN,118.1,8562
23,2020,MS,245.6,8809
24,2020,MO,196.7,15934
25,2020,MT,162.7,2424
26,2020,NE,143.8,3532
27,2020,NV,201.3,7285
28,2020,NH,146.5,2814
29,2020,NJ,166.3,19744
30,2020,NM,152.7,4219
31,2020,NY,183.9,48546
32,2020,NC,156.2,20373
33,2020,ND,147.3,1449
34,2020,OH,196.9,30547
35,2020,OK,244.1,11758
36,2020,OR,134.0,7371
37,2020,PA,175.7,32936
38,2020,RI,150.5,2319
39,2020,SC,170.9,11385
40,2020,SD,155.2,1820
41,2020,TN,212.0,17943
42,2020,TX,173.9,50281
43,2020,UT,155.6,4251
44,2020,VT,167.1,1521
45,2020,VA,152.0,15678
46,2020,WA,134.6,12084
47,2020,WV,197.8,5123
48,2020,WI,162.2,12641
49,2020,WY,160.4,1174
50,2019,AL,219.6,13448
51,2019,AK,129.7,843
52,2019,AZ,134.0,12587
53,2019,AR,226.5,8669
54,2019,CA,136.9,62394
55,2019,CO,127.7,7762
56,2019,CT,143.1,7354
57,2019,DE,154.3,2053
58,2019,FL,140.1,47144
59,2019,GA,175.5,19543
60,2019,HI,120.3,2503
61,2019,ID,150.7,3061
62,2019,IL,162.0,25690
63,2019,IN,178.8,14555
64,2019,IA,172.9,7505
65,2019,KS,166.0,6140
66,2019,KY,196.4,10742
67,2019,LA,207.8,11302
68,2019,ME,142.4,2940
69,2019,MD,159.3,11770
70,2019,MA,127.2,11761
71,2019,MI,193.8,25547
72,2019,MN,116.7,8401
73,2019,MS,226.7,7997
74,2019,MO,187.0,15018
75,2019,MT,157.1,2290
76,2019,NE,144.9,3540
77,2019,NV,198.1,6864
78,2019,NH,143.4,2707
79,2019,NJ,158.0,18716
80,2019,NM,158.2,4245
81,2019,NY,166.6,43806
82,2019,NC,154.7,19617
83,2019,ND,147.7,1448
84,2019,OH,188.8,29160
85,2019,OK,231.4,10960
86,2019,OR,131.0,7128
87,2019,PA,172.9,32299
88,2019,RI,159.3,2404
89,2019,SC,164.0,10579
90,2019,SD,158.1,1840
91,2019,TN,202.8,16814
92,2019,TX,163.4,46139
93,2019,UT,146.5,3882
94,2019,VT,151.6,1368
95,2019,VA,149.1,15062
96,2019,WA,134.8,11862
97,2019,WV,197.4,5087
98,2019,WI,158.8,12241
99,2019,WY,150.4,1067
100,2018,AL,224.7,13473
101,2018,AK,129.7,815
102,2018,AZ,136.4,12455
103,2018,AR,217.4,8171
104,2018,CA,139.7,62547
105,2018,CO,124.3,7370
106,2018,CT,142.1,7205
107,2018,DE,159.1,2030
108,2018,FL,143.1,47027
109,2018,GA,175.8,18986
110,2018,HI,125.6,2570
111,2018,ID,157.9,3122
112,2018,IL,163.9,25755
113,2018,IN,180.7,14532
114,2018,IA,165.1,7185
115,2018,KS,158.9,5823
116,2018,KY,198.3,10697
117,2018,LA,212.2,11340
118,2018,ME,147.0,2965
119,2018,MD,161.9,11683
120,2018,MA,131.5,12036
121,2018,MI,195.0,25354
122,2018,MN,119.0,8408
123,2018,MS,222.1,7758
124,2018,MO,188.4,14893
125,2018,MT,163.2,2347
126,2018,NE,145.7,3539
127,2018,NV,190.7,6393
128,2018,NH,151.0,2786
129,2018,NJ,163.0,19047
